shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.19209e-06,0.191489,9.4790,4.1206,2.300,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.0865386,3.4770,0.8366,4.156,
3,4,128,4,128,4,128,PASS,1.19209e-06,0.0769232,3.5226,1.1162,3.156,
4,16,128,4,128,4,128,PASS,1.43051e-06,0.421053,3.4680,1.2108,2.864,
5,128,128,4,128,4,128,PASS,1.43051e-06,4.33333,18.4136,7.8722,2.339,
6,10000,128,4,128,4,128,PASS,1.66893e-06,203605,1503.6093,868.4858,1.731,
7,64,32,4,128,4,32,PASS,9.53674e-07,2,6.4698,2.3306,2.776,
8,64,1024,4,128,4,1024,PASS,1.90735e-06,4.56818,157.6818,147.0067,1.073,
9,64,128,1,128,4,128,PASS,1.43051e-06,0.233333,6.8085,5.3473,1.273,
10,64,128,2,128,4,128,PASS,1.43051e-06,0.666667,8.3845,5.4052,1.551,
11,64,128,16,128,4,128,PASS,1.43051e-06,0.386667,23.0939,7.6328,3.026,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.10396,3.4345,1.5319,2.242,
13,64,128,4,1024,4,128,PASS,1.43051e-06,1.4,342.1439,75.6163,4.525,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
